id,embedding
d39173a54ea8333401c6fc92b0a3d24d6c60b5d03c0352c9c996f419c9935c19c152374823ea381dddec2726266a2113d77facffeff2c7b69001481158285e85,"[-0.01287079  0.00091648 -0.01907349 ... -0.00795746 -0.00728989
  0.01006317]"
4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2,"[ 0.00727463  0.00809479 -0.00817871 ... -0.01074219 -0.00394821
  0.00494766]"
c803e19690701925964c557173b383a13641796902a850be18adfa59926358f9c9d882b9c1f11056d3f5ae39a06a3063ba3aee9f5eb44d21fe5e53f64ffe32fa,"[ 0.00862885  0.00226593 -0.01608276 ... -0.01136017 -0.00577927
  0.00426483]"
099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f,"[-0.00366592  0.00754929 -0.01216125 ... -0.03286743  0.00289917
  0.00254059]"
d45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084,"[-0.00419235 -0.03460693 -0.00997162 ... -0.03689575 -0.00197029
 -0.01416779]"
01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa,"[ 0.0242157  -0.02732849 -0.00922394 ... -0.02198792  0.01200867
  0.00207138]"
a6767e76d4e5bc6ba7c835c723b3b5e7a5045170bfa2d1237f52eb0136f182088317c7b928288da1af9518dc10f8d005418399360ef1012911e9d07e28631e38,"[ 0.01184082  0.00737    -0.0116806  ... -0.01560974  0.00732803
  0.00398254]"
f2707ebde367944271b5fe410e033346fa7aa07bf22370c525eab33d42918733bfabd2e502eb74d2d41768dce676b5ed489cdc17707c881ff5c32114a838f796,"[-3.91769409e-03 -7.68661499e-03 -9.39178467e-03 ... -2.86865234e-02
 -1.31130219e-06 -1.44195557e-02]"
1368fc03d610d71f0a4ebe01b5cf8241f4e22c35a09baa58132436224f4cc44ccfc8538d6058eb4cdd3500e2063f8e87b0c54db161cfad7569fe611ec3c72fe9,"[-0.00369164 -0.01823514 -0.00492939 ... -0.00974364  0.00580013
  0.00650175]"
163da55de5b7990e1b4c750d0714072dda9561088dd6766b5828a29b6248c428976c734c0732d1edafca48f6f343e313070209dd0e788e7e10148802707ef4b6,"[ 0.00521938 -0.00827517 -0.00769524 ... -0.01940539 -0.00724542
  0.01269901]"
2db1deb8c006563858d52216b0234f6fc1a5f276e7a4050cd1c206a765975c9a9ed62d82b2bb5b34d535e9d6b8b1f95aa54e584ff8aa328ee1305e32fa7ec1db,"[ 0.01082169 -0.0012053  -0.00738788 ... -0.02742419 -0.00499463
  0.00546094]"
6080da6318db19acb1b01c7aa07287d2021f2deaee82707c9a061f6ebb463bc18786725b2733fee119626f91580bc12bfc1308beb8fcb3b87f9c9f260a2ea5d6,"[ 0.00072042  0.01264997 -0.00518572 ... -0.00700791 -0.0021429
 -0.00547931]"
43f03a51c7f9a85ee9802c15a12a9fcdf1c1b9df6602468789ae95e2702de7007d2005e427a79dc096ec026a400c0929edb0e22819e51c562c81a476cb158f0a,"[-0.00416828 -0.00033089 -0.00301246 ... -0.02081817  0.00188818
 -0.00882148]"
3f1201cf8acd113a3f95f9bf1fcbcf52b2419e1fd24478ada6f84259ebab3a3cb73eb8cc9c82f34912dc92f1583450302cb793c06cdaaec6264eaa8aa2b51f90,"[ 0.00867072 -0.01069729 -0.00650814 ... -0.01879676  0.00510382
  0.00940518]"
71c87aca16b762ffc4deee532606a3e3b7790db340892ec2eed4b5c78c34a6b2b65e6b5600664d3d7c6bbc518fa48bfeb6ab6b653826d10f97c7ff1ef1c903ed,"[ 0.01087901 -0.00656971 -0.00993387 ... -0.02433567 -0.0105882
  0.01237934]"
e1e6208d3632cc5fd3ef97e02ac9745cbbb1c71f2dfb02f96212ede72d356ba427fd7635d190d36b72723bc6004ff99d967abe2c19d1d7bd4ab9ea07c18c80f9,"[-0.00070143 -0.01199341 -0.00153732 ... -0.02001953 -0.00439072
  0.00370979]"
